Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
2019,"Justin Anderson","LAA",3,0,1,54,0,47,11.489366364729197,6.127662061188905,1.1489366364729197,0.3050847457627119,0.64564565,0.352459016,0.125,94.78708826013514,5.553193742952446,,4.426775925318312,4.798731019536097,0.33620357513427734,"Justin Anderson",16201,605121
2019,"Matt Bowman","CIN",2,0,0,27,0,32,7.031251676381034,3.6562508717181377,0.5625001341104827,0.25773195876288657,0.67204301,0.551020408,0.074074074,93.72623474957192,3.6562508717181377,,3.6827595874667436,4.548652256809689,0.3361343443393707,"Matt Bowman",13528,621199
2020,"Kyle Finnegan","WSN",1,0,0,25,0,24.2,9.85135008175952,4.743242631958287,0.7297296356858903,0.296875,0.77639752,0.507692307,0.111111111,95.22541048728813,2.9189185427435613,,3.7589868097604944,4.11205720095855,0.33596301078796387,"Kyle Finnegan",15009,640448
2019,"Jeremy Jeffress","MIL",3,4,1,48,0,52,7.961540213703789,2.9423083398470524,0.8653848058373684,0.3223684210526316,0.63768116,0.483870967,0.113636363,94.10782541322314,5.019231873856737,,3.9640096407670606,4.3971839439060805,0.3356524407863617,"Jeremy Jeffress",9490,502026
2020,"Paul Fry","BAL",1,0,0,22,0,22,11.863646649141007,3.681821373871347,1.227273791290449,0.3392857142857143,0.89928058,0.576271186,0.1875,92.8642821050995,2.454547582580898,,3.6914197488268363,3.3210788528785167,0.3355354070663452,"Paul Fry",15832,643316
2018,"Kenley Jansen","LAD",1,5,38,69,0,71.2,10.297674784023366,2.134883796687771,1.632558197467119,0.2342857142857143,0.82116788,0.352941176,0.158536585,,3.013953595323912,,4.025547885544047,3.557163283514882,0.3346982002258301,"Kenley Jansen",3096,445276
2020,"Chaz Roe","TBR",2,0,1,10,0,9.1,8.678575271248086,2.892858423749362,0,0.38461538461538464,0.71428571,0.23076923,0,91.07569037543402,2.892858423749362,,2.548561887838277,4.821180623217038,0.334689736366272,"Chaz Roe",9866,475054
2020,"Shane Greene","ATL",1,0,0,28,0,27.2,6.831325458189389,2.9277109106525954,0.6506024245894656,0.26666666666666666,0.79470199,0.426666666,0.074074074,93.40163167317708,2.6024096983578624,,3.8058771607837416,4.747935236332294,0.3339884877204895,"Shane Greene",10756,572888
2018,"Tony Barnette","TEX",2,0,0,22,0,26.1,8.886079596588356,1.708861460882376,0.6835445843529504,0.2463768115942029,0.64655172,0.514285714,0.095238095,93.11851839048673,2.3924060452353264,,2.9705580801215494,3.3003272177699468,0.33384740352630615,"Tony Barnette",3555,501817
2021,"JT Brubaker","PIT",5,13,0,24,24,124.1,9.337801990572522,2.750670353812061,2.026809734387834,0.2844311377245509,0.72629969,0.428169014,0.224,93.16939666491596,5.356568583739277,,5.156629377997974,4.002837903106144,0.3332381844520569,"JT Brubaker",17578,664141
2022,"Chad Green","NYY",1,1,1,14,0,15,9.60000122070328,3.000000381469775,0.600000076293955,0.3,0.72289157,0.25,0.045454545,94.81670178865132,3.000000381469775,,2.845764301088117,4.150306259441408,0.33288276195526123,"Chad Green",15552,643338
